,Project Duration,Indirect Cost,Crash Cost,Total Cost,Crashed Durations
30,80,80000,9400.0,89400.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 4, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
31,79,79000,9800.0,88800.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 4, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 1, 'A48': 3, 'A49': 4, 'A50': 5}"
32,78,78000,10300.0,88300.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 4, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 1, 'A48': 3, 'A49': 4, 'A50': 5}"
33,77,77000,10800.0,87800.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 3, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 1, 'A48': 3, 'A49': 4, 'A50': 5}"
34,76,76000,11300.0,87300.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 3, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 4, 'A47': 1, 'A48': 3, 'A49': 4, 'A50': 5}"
35,75,75000,11800.0,86800.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 3, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 4, 'A47': 1, 'A48': 2, 'A49': 4, 'A50': 5}"
36,75,75000,12400.0,87400.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 3, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 3, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 4, 'A47': 1, 'A48': 2, 'A49': 4, 'A50': 5}"
37,75,75000,13000.0,88000.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 3, 'A31': 5, 'A32': 5, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 3, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 4, 'A47': 1, 'A48': 2, 'A49': 4, 'A50': 5}"
38,74,74000,13600.0,87600.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 3, 'A31': 5, 'A32': 5, 'A33': 6, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 3, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 4, 'A47': 1, 'A48': 2, 'A49': 4, 'A50': 5}"
39,73,73000,14200.0,87200.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 2, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 3, 'A31': 5, 'A32': 5, 'A33': 6, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 3, 'A42': 1, 'A43': 2, 'A44': 4, 'A45': 1, 'A46': 4, 'A47': 1, 'A48': 2, 'A49': 4, 'A50': 5}"
