,Project Duration,Indirect Cost,Crash Cost,Total Cost,Crashed Durations
10,86,86000,2200.0,88200.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
11,85,85000,2500.0,87500.0,"{'A1': 2, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
12,84,84000,2800.0,86800.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
13,84,84000,3100.0,87100.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
14,83,83000,3400.0,86400.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
15,82,82000,3700.0,85700.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
16,82,82000,4000.0,86000.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 6, 'A16': 2, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
17,82,82000,4300.0,86300.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 6, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
18,82,82000,4600.0,86600.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 6, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
19,82,82000,5000.0,87000.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 6, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
